Reference,Apparatus,Capsule,Run #,T(C),P(kb),melt,olivine,opx,cpx,sp,grt,DNi ol-liq,"KD ol-opx, Ni-Mg","KD ol-cpx, Ni-Mg","KD ol-sp, Ni-Mg","KD ol-gt, Ni-Mg",D Ni ol-opx,D Ni ol-cpx,D Ni ol-sp,D Ni ol-gt,NiOol,NiOliq,Ol-liq KDMn-Mg,ol-opx KD Mn-Mg,ol-sp KD Mn-Mg,ol-gt KD Mn-Mg,DMn ol-liq,D Mn ol-opx,D Mn ol-cpx,D Mn ol-sp,D Mn ol-gt,Oliv MnO,LiqMnO,bulkDMn,SiO2 gl,TiO2 gl,Al2O3 gl,Cr2O3 gl,FeO* gl,MnO gl,MgO gl,CaO gl,Na2O gl,K2O gl,SiO2 ol,Al2O3 ol,Cr2O3 ol,FeO* ol,MnO ol,MgO ol,CaO ol,SiO2 opx,TiO2 opx,Al2O3 opx,Cr2O3 opx,FeO* opx,MnO opx,MgO opx,CaO opx,Na2O opx,SiO2 cpx,TiO2 cpx,Al2O3 cpx,Cr2O3 cpx,FeO* cpx,MnO cpx,MgO cpx,CaO cpx,Na2O cpx,SiO2 sp,TiO2 sp,Al2O3 sp,Cr2O3 sp,FeO* sp,MnO sp,MgO sp,CaO sp,FeO sp,Fe2O3 sp,SiO2 gt,TiO2 gt,Al2O3 gt,Cr2O3 gt,FeO* gt,MnO gt,MgO gt,CaO gt,Na2O gt
Baker & Stolper (1994),PC,gr/Pt ,70a,1250,10,0.017,0.547,0.248,0.167,0.020,,20.8828135,1.994955945,2.10020521,0.383457041,4.018850025,3.076468235,5.74522803,0.899543816,,0.36734779,0.017590915,0.233839087,0.73007593,0.632984073,,2.020041516,1.125867172,1.389558004,1.484904038,,0.143974714,0.071273146,2.046771272,55.5,0.61,18.9,0.02,4.1,0.08,5.7,6.5,7.4,0.43,40.87,0.05,0.08,9.45,0.12,49.24,0.2,53.97,0.12,5.36,0.7,5.9,0.13,31.93,1.77,0.16,51.5,0.3,6.86,1.18,3.42,0.09,18,17.75,0.91,0.32,0.14,56.25,13.77,8.38,0.1,20.99,0.06,8.38,0.000,,,,,,,,,
Baker & Stolper (1994),PC,gr/Pt ,55a,1270,10,0.088,0.564,0.216,0.120,0.012,,10.7887455,1.971013108,2.068758314,0.454266181,3.842811863,3.057257593,5.285879895,1.127034396,,0.370082274,0.034302623,0.244332802,0.732118887,0.486178988,,1.133064827,1.135596723,1.343483037,1.206210069,,0.140744842,0.124216054,1.047830489,49.7,0.7,18,0.07,6,0.14,10.7,11.3,2.8,0.06,40.95,0,0.13,8.98,0.11,49.62,0.22,54.24,0.1,4.74,1.08,5.54,0.16,31.99,2.09,0.07,51.76,0.18,5.82,1.3,3.61,0.09,19.42,17.35,0.47,0.27,0.14,42.95,26.76,9.7,0.09,20,0.09,8.535351288,1.294,,,,,,,,,
Baker & Stolper (1994),PC,gr/Pt ,20,1270,10,0.083,0.560,0.220,0.123,0.014,,10.7561314,1.971013108,2.068758314,0.446641362,3.842811863,3.005734231,5.333062731,1.084168212,,0.369389159,0.034342195,0.244332802,0.732118887,0.49983771,,1.129639601,1.116458734,1.40910943,1.213295951,,0.141002171,0.124820492,1.064102366,50.3,0.67,17.4,0.13,6,0.14,10.7,11,3.2,0.08,40.92,0.04,0.12,9.05,0.16,49.47,0.24,54.23,0.11,5.05,0.81,5.69,0.14,32.44,1.47,0.07,51.86,0.22,5.63,1.26,3.28,0.12,19.19,17.91,0.52,0.19,0.09,44.18,25.56,9.5,0.11,20.38,0.05,8.049891693,1.612,,,,,,,,,
Baker & Stolper (1994),PC,gr/Pt ,15,1280,10,0.115,0.571,0.203,0.099,0.011,,9.935716613,1.959378135,2.053511062,0.443521174,3.759331765,3.015971122,5.096282331,1.090341202,,0.367683987,0.037006288,0.245839028,0.733122723,0.503469021,,1.069831067,1.128458525,1.340183352,1.237715468,,0.139109627,0.130029527,0.955528978,50.3,0.74,16.8,0.11,6.1,0.1,11.4,11.4,2.6,0.07,40.95,0.03,0.13,8.94,0.13,49.61,0.22,54.41,0.07,4.52,1,5.52,0.14,32.23,2.06,0.05,52,0.14,5.08,1.47,3.68,0.07,19.99,17.32,0.44,0.18,0.17,44.62,25.24,9.42,0.11,20.18,0.08,8.421133762,1.110,,,,,,,,,
Baker & Stolper (1994),PC,gr/Pt ,16,1300,10,0.151,0.579,0.194,0.069,0.008,,8.868163236,1.936751116,2.023923812,0.490247258,3.600787688,2.990802269,4.889176576,1.236720436,,0.367173406,0.041403546,0.247789255,0.735096108,0.440617564,,0.998610844,1.135162433,1.255068823,1.111522272,,0.136153314,0.136342715,0.841766952,49.6,0.54,16.1,0.17,6.5,0.13,12.3,12.2,2,0.05,40.95,0.06,0.14,8.82,0.14,49.57,0.27,54.34,0.08,4.37,1.14,5.47,0.12,32.1,2.32,0.05,51.95,0.13,5.26,1.49,3.7,0.11,20.52,16.47,0.36,0.05,0.09,37.33,32.7,9.96,0.12,19.65,0.09,7.838832693,2.357,,,,,,,,,
Baker & Stolper (1994),PC,gr/Pt ,62a,1330,10,0.197,0.589,0.175,0.033,0.006,,7.989740305,1.904334104,1.981685342,0.543090024,3.382230961,2.918025796,4.508356786,1.481154612,,0.365025758,0.045686811,0.249316788,0.737973339,0.380498217,,0.955075082,1.130802224,1.156398168,1.037722409,,0.133126185,0.139388188,0.752353413,49.7,0.48,15.2,0.24,6.7,0.13,13,12.6,1.6,0.07,41.01,0.07,0.18,8.51,0.14,49.8,0.28,54.95,0.07,3.44,1.21,5.16,0.12,32.5,2.48,0.07,52.36,0.12,4.43,1.7,3.83,0.13,21.89,15.23,0.32,0.23,0.16,30.4,40.59,10.11,0.17,18.26,0.09,9.108820298,1.113,,,,,,,,,
Baker & Stolper (1994),PC,gr/Pt ,24,1330,10,0.209,0.588,0.177,0.021,0.006,,7.800111538,1.904334104,1.981685342,0.558028765,3.382230961,2.881703022,4.588874717,1.517569752,,0.365328566,0.046836326,0.249974325,0.737973339,0.367511327,,0.934866385,1.116726312,1.199923988,0.999453986,,0.132009316,0.141206614,0.726040263,49.8,0.46,14.6,0.28,6.8,0.15,13.3,12.6,1.58,0.02,41,0.07,0.24,8.52,0.1,49.74,0.33,54.71,0.09,3.33,1.23,5.17,0.11,32.87,2.44,0.05,52.78,0.07,4.26,1.68,3.52,0.1,21.48,15.82,0.3,0.32,0.17,28.68,42.37,9.93,0.17,18.29,0.07,8.938689807,1.102,,,,,,,,,
Baker & Stolper (1994),PC,gr/Pt ,21,1350,10,0.230,0.567,0.198,0.000,0.004,,7.363055306,1.883677611,1.954863731,0.593265706,3.248121189,2.896211339,,1.67432766,,0.373549692,0.050732974,0.251294605,0.739838391,0.346774126,,0.918400426,1.137523919,,0.978673645,,0.131535157,0.143222013,0.684824017,50.4,0.42,13.4,0.44,7.1,0.14,13.9,13.1,1.28,0,40.4,0.05,0.25,8.5,0.11,50.8,0.32,55.5,0.04,2.8,1.3,5.2,0.11,33.04,2.55,0.07,,,,,,,,,,0.23,0.14,24.5,46.8,10.9,0.14,18,0.15,8.811563745,2.321000505,,,,,,,,,
Baker & Stolper (1994),PC,gr/Pt ,22,1360,10,0.250,0.568,0.178,0.000,0.003,,6.980417562,1.873621215,1.941832395,0.596883805,3.184256847,2.892508884,,1.694486801,,0.374598983,0.053664266,0.252621858,0.740755511,0.342611706,,0.890274271,1.143583282,,0.972636567,,0.129943451,0.145958897,0.647211209,50.5,0.42,13,0.5,7.3,0.15,14.5,12.7,1.12,0,40.7,0.06,0.29,8.44,0.09,51.1,0.3,54.7,0.01,3,1.37,5.1,0.11,33.1,2.3,0.06,,,,,,,,,,0.24,0.1,24,47.6,10.22,0.19,18,0.11,8.570496842,1.833188661,,,,,,,,,
Baker & Stolper (1994),PC,gr/Pt ,26,1390,10,0.285,0.575,0.137,0.000,0.003,,6.19397069,1.844485271,1.904175991,0.599545004,3.004401305,2.800101205,,1.699808913,,0.372439522,0.060129365,0.255297431,0.743447241,0.34055358,,0.839066717,1.128622467,,0.965525534,,0.126159379,0.150356791,0.586449688,51,0.35,12.1,0.58,7.4,0.17,15.7,11.5,1,0,40.7,0.06,0.37,7.9,0.14,51.6,0.28,55.2,0.01,2.69,1.42,4.96,0.12,33.99,1.94,0.05,,,,,,,,,,0.42,0.15,23.3,49.1,10.2,0.18,18.2,0.07,8.857884677,1.491570708,,,,,,,,,
